,time,dec,de,mode,u,w,q,theta
0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
1,0.10000000149011612,-0.007291526533663273,-0.0027925267349928617,3.0,-0.0002530009369365871,0.0034997162874788046,0.00015488039935007691,4.701817942986963e-06
2,0.20000000298023224,-0.014583053067326546,-0.0062831854447722435,3.0,-0.0013846810907125473,0.020270586013793945,0.0006610037526115775,4.295532562537119e-05
3,0.30000001192092896,-0.021874578669667244,-0.009773843921720982,3.0,-0.003770840121433139,0.056697964668273926,0.0014580170391127467,0.00014686785289086401
4,0.4000000059604645,-0.02916610613465309,-0.01326450239866972,3.0,-0.007736269384622574,0.11758287996053696,0.0024864086881279945,0.00034253846388310194
5,0.5,-0.03645763173699379,-0.016755159944295883,3.0,-0.013553985394537449,0.20624856650829315,0.003689141245558858,0.0006502265459857881
6,0.6000000238418579,-0.04374915733933449,-0.02024581842124462,3.0,-0.021446116268634796,0.3246740996837616,0.00501295505091548,0.0010846672812476754
7,0.699999988079071,-0.051040686666965485,-0.02373647689819336,3.0,-0.03158615529537201,0.473646879196167,0.006409354042261839,0.0016555008478462696
8,0.800000011920929,-0.05833221226930618,-0.027227137237787247,3.0,-0.04410230368375778,0.6529266238212585,0.007835297845304012,0.002367786131799221
9,0.8999999761581421,-0.06562373787164688,-0.030717795714735985,3.0,-0.05908161774277687,0.8614139556884766,0.00925361830741167,0.0032225693576037884
10,1.0,-0.07291526347398758,-0.03420845419168472,3.0,-0.07657475024461746,1.097318172454834,0.010633202269673347,0.004217481706291437
11,1.100000023841858,-0.08020678907632828,-0.03769911080598831,3.0,-0.0966009721159935,1.35831880569458,0.011948959901928902,0.00534734595566988
12,1.2000000476837158,-0.08749831467866898,-0.0411897711455822,3.0,-0.11915340274572372,1.6417179107666016,0.013181625865399837,0.006604767870157957
13,1.2999999523162842,-0.09478984028100967,-0.04468042775988579,3.0,-0.14420412480831146,1.9445793628692627,0.014317414723336697,0.007980706170201302
14,1.399999976158142,-0.10208137333393097,-0.048171088099479675,3.0,-0.17170913517475128,2.2638537883758545,0.015347568318247795,0.009464995004236698
15,1.5,-0.10937289893627167,-0.051661744713783264,3.0,-0.20161305367946625,2.5964865684509277,0.016267823055386543,0.011046823114156723
16,1.600000023841858,-0.11666442453861237,-0.05515240505337715,3.0,-0.2338532954454422,2.939509391784668,0.01707783341407776,0.012715151533484459
17,1.7000000476837158,-0.12395595014095306,-0.05864306166768074,3.0,-0.26836392283439636,3.290114641189575,0.01778056100010872,0.014459080062806606
18,1.7999999523162842,-0.13124747574329376,-0.06213372200727463,3.0,-0.30507898330688477,3.645714044570923,0.018381677567958832,0.01626814529299736
19,1.899999976158142,-0.13853900134563446,-0.06562437862157822,3.0,-0.34393513202667236,4.0039801597595215,0.018888959661126137,0.018132556229829788
20,2.0,-0.14583052694797516,-0.0691150352358818,3.0,-0.384874165058136,4.362875461578369,0.019311729818582535,0.02004338800907135
21,2.0999999046325684,-0.14596466720104218,-0.07260569930076599,3.0,-0.42784443497657776,4.720666408538818,0.0196603424847126,0.021992700174450874
22,2.200000047683716,-0.1460988074541092,-0.07609635591506958,3.0,-0.47280237078666687,5.075927734375,0.019945703446865082,0.0239736195653677
23,2.299999952316284,-0.1462329477071762,-0.07958701252937317,3.0,-0.5197132229804993,5.427536487579346,0.02017887309193611,0.025980373844504356
24,2.4000000953674316,-0.14636708796024323,-0.08307766914367676,3.0,-0.5685514211654663,5.774657726287842,0.02037069946527481,0.028008287772536278
25,2.5,-0.14650122821331024,-0.08656833320856094,3.0,-0.6193008422851562,6.116723537445068,0.020531540736556053,0.030053751543164253
26,2.5999999046325684,-0.14663536846637726,-0.09005898982286453,3.0,-0.6719545722007751,6.453408241271973,0.020671028643846512,0.03211415559053421
27,2.700000047683716,-0.14676950871944427,-0.09354964643716812,3.0,-0.7265141606330872,6.784600734710693,0.02079789713025093,0.03418780490756035
28,2.799999952316284,-0.1469036489725113,-0.09704030305147171,3.0,-0.7829894423484802,7.110372543334961,0.020919866859912872,0.03627384081482887
29,2.9000000953674316,-0.1470377892255783,-0.1005309671163559,3.0,-0.8413974642753601,7.430949687957764,0.021043572574853897,0.03837210685014725
30,3.0,-0.14717192947864532,-0.10402162373065948,3.0,-0.9017616510391235,7.746678829193115,0.021174537017941475,0.04048306494951248
31,3.0999999046325684,-0.14730606973171234,-0.10751228034496307,3.0,-0.9641108512878418,8.057998657226562,0.02131717838346958,0.04260767623782158
32,3.200000047683716,-0.14744020998477936,-0.11100293695926666,3.0,-1.0284785032272339,8.365415573120117,0.021474864333868027,0.04474727436900139
33,3.299999952316284,-0.14757435023784637,-0.11449360102415085,3.0,-1.0949015617370605,8.669473648071289,0.021649960428476334,0.04690349102020264
34,3.4000000953674316,-0.1477084904909134,-0.11798425763845444,3.0,-1.1634196043014526,8.970734596252441,0.02184392511844635,0.04907815530896187
35,3.5,-0.1478426307439804,-0.12147491425275803,3.0,-1.2340739965438843,9.269760131835938,0.022057417780160904,0.05127319321036339
36,3.5999999046325684,-0.14797677099704742,-0.12496557086706161,3.0,-1.3069075345993042,9.567091941833496,0.022290388122200966,0.05349056050181389
37,3.700000047683716,-0.14811091125011444,-0.1284562349319458,3.0,-1.381962776184082,9.863241195678711,0.022542191669344902,0.05573217198252678
38,3.799999952316284,-0.14824505150318146,-0.1319468915462494,3.0,-1.4592827558517456,10.158676147460938,0.02281171828508377,0.057999856770038605
