,time,dec,de,mode,u,w,q,theta
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.10000000149011612,0.007623984478414059,0.004198264330625534,0.0,0.00042324140667915344,-0.005881819874048233,-0.0002551358484197408,-8.241671821451746e-06
2,0.20000000298023224,0.015247968956828117,0.010561976581811905,0.0,0.002258726628497243,-0.03302939236164093,-0.0010825253557413816,-6.964190833969042e-05
3,0.30000001192092896,0.0228719525039196,0.017722325399518013,0.0,0.006383690517395735,-0.09574135392904282,-0.002515502041205764,-0.00024439694243483245
4,0.4000000059604645,0.030495937913656235,0.02517574466764927,0.0,0.01356364693492651,-0.2057396024465561,-0.004484354984015226,-0.0005900385440327227
5,0.5,0.03811991959810257,0.03273697942495346,0.0,0.024451542645692825,-0.37177109718322754,-0.0068850405514240265,-0.0011550829512998462
6,0.6000000238418579,0.0457439050078392,0.040337879210710526,0.0,0.03958883509039879,-0.5996482372283936,-0.009606222622096539,-0.001977144042029977
7,0.699999988079071,0.053367890417575836,0.047953374683856964,0.0,0.05940913408994675,-0.8924761414527893,-0.012540550902485847,-0.003082843264564872
8,0.800000011920929,0.06099187582731247,0.05557423457503319,0.0,0.0842442512512207,-1.2509629726409912,-0.015589729882776737,-0.004488491453230381
9,0.8999999761581421,0.0686158612370491,0.0631970688700676,0.0,0.11433223634958267,-1.6737680435180664,-0.018666936084628105,-0.006201131269335747
10,1.0,0.07623983919620514,0.0708206295967102,0.0,0.14982691407203674,-2.1578593254089355,-0.021697934716939926,-0.008219745941460133
11,1.100000023841858,0.08386382460594177,0.0784444585442543,0.0,0.19080838561058044,-2.698869466781616,-0.024621425196528435,-0.010536542162299156
12,1.2000000476837158,0.0914878100156784,0.08606838434934616,0.0,0.2372940480709076,-3.291433811187744,-0.027388866990804672,-0.013138238340616226
13,1.2999999523162842,0.09911179542541504,0.093692347407341,0.0,0.2892497181892395,-3.929506778717041,-0.029963945969939232,-0.0160073135048151
14,1.399999976158142,0.10673578083515167,0.10131632536649704,0.0,0.3466006815433502,-4.606648921966553,-0.032321732491254807,-0.019123194739222527
15,1.5,0.1143597662448883,0.10894031077623367,0.0,0.4092419147491455,-5.316277027130127,-0.03444761410355568,-0.022463342174887657
16,1.600000023841858,0.12198375165462494,0.11656428873538971,0.0,0.4770478904247284,-6.051886558532715,-0.03633613884449005,-0.02600422129034996
17,1.7000000476837158,0.12960773706436157,0.12418827414512634,0.0,0.5498812198638916,-6.807229518890381,-0.03798970952630043,-0.02972215600311756
18,1.7999999523162842,0.1372317224740982,0.13181225955486298,0.0,0.627600371837616,-7.576458930969238,-0.03941730782389641,-0.033594049513339996
19,1.899999976158142,0.14485570788383484,0.1394362449645996,0.0,0.7100663781166077,-8.354242324829102,-0.04063316434621811,-0.03759797662496567
20,2.0,0.15247967839241028,0.14706023037433624,0.0,0.7971483469009399,-9.13583755493164,-0.0416555255651474,-0.041713643819093704
21,2.0999999046325684,0.14457830786705017,0.14613492786884308,0.0,0.8878656625747681,-9.905159950256348,-0.041985929012298584,-0.04590597003698349
22,2.200000047683716,0.13667693734169006,0.14079995453357697,0.0,0.9801015853881836,-10.62744140625,-0.04100145772099495,-0.050067365169525146
23,2.299999952316284,0.12877556681632996,0.13384272158145905,0.0,1.0719846487045288,-11.27077579498291,-0.03865789622068405,-0.05406147241592407
24,2.4000000953674316,0.12087418884038925,0.12628868222236633,0.0,1.161890983581543,-11.809144973754883,-0.03512085601687431,-0.057759739458560944
25,2.5,0.11297281831502914,0.11851508915424347,0.0,1.2484451532363892,-12.22319221496582,-0.03062514029443264,-0.0610542930662632
