time,dec,de,u,w,q,theta,mode
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10000000149011612,-0.003771223360672593,-0.0020766821689903736,-0.00020935747306793928,0.0029094573110342026,0.00012620360939763486,4.076764071214711e-06,0.0
0.20000000298023224,-0.007542446721345186,-0.005224508699029684,-0.0011172848753631115,0.01633807085454464,0.0005354739259928465,3.444854519329965e-05,0.0
0.30000001192092896,-0.011313670314848423,-0.00876639410853386,-0.0031577087938785553,0.04735870659351349,0.0012442994629964232,0.0001208915637107566,0.0
0.4000000059604645,-0.015084893442690372,-0.012453246861696243,-0.0067092920653522015,0.10176962614059448,0.00221819756552577,0.00029186406754888594,0.0
0.5,-0.018856117501854897,-0.016193432733416557,-0.012095018289983273,0.18389752507209778,0.0034057029988616705,0.0005713647697120905,0.0
0.6000000238418579,-0.022627340629696846,-0.019953235983848572,-0.01958271861076355,0.2966175377368927,0.004751742817461491,0.0009779994143173099,0.0
0.699999988079071,-0.026398563757538795,-0.023720258846879005,-0.02938688173890114,0.4414655864238739,0.0062032160349190235,0.0015249364078044891,0.0
0.800000011920929,-0.030169786885380745,-0.027489937841892242,-0.04167163744568825,0.6187921166419983,0.007711500860750675,0.0022202441468834877,0.0
0.8999999761581421,-0.033941011875867844,-0.03126059100031853,-0.05655474215745926,0.827933669090271,0.00923364982008934,0.0030674058943986893,0.0
1.0,-0.03771223500370979,-0.03503160551190376,-0.07411228120326996,1.0673906803131104,0.010732941329479218,0.004065919201821089,0.0
1.100000023841858,-0.04148345813155174,-0.03880275413393974,-0.09438386559486389,1.3350026607513428,0.012179052457213402,0.0052119288593530655,0.0
1.2000000476837158,-0.04525468125939369,-0.042573947459459305,-0.1173781231045723,1.628116250038147,0.01354797463864088,0.00649886392056942,0.0
1.2999999523162842,-0.04902590438723564,-0.04634515941143036,-0.14307814836502075,1.9437408447265625,0.01482174452394247,0.007918059825897217,0.0
1.399999976158142,-0.05279712751507759,-0.05011637881398201,-0.17144693434238434,2.2786905765533447,0.015988025814294815,0.009459338150918484,0.0
1.5,-0.05656835064291954,-0.05388760194182396,-0.2024325728416443,2.6297099590301514,0.017039597034454346,0.011111550033092499,0.0
1.600000023841858,-0.06033957377076149,-0.05765882506966591,-0.23597297072410583,2.9935808181762695,0.0179737601429224,0.012863053008913994,0.0
1.7000000476837158,-0.06411080062389374,-0.06143004819750786,-0.27200013399124146,3.367213010787964,0.01879170536994934,0.014702137559652328,0.0
1.7999999523162842,-0.06788202375173569,-0.0652012750506401,-0.3104441165924072,3.7477145195007324,0.01949787139892578,0.01661737821996212,0.0
1.899999976158142,-0.07165324687957764,-0.06897249817848206,-0.35123616456985474,4.132447242736816,0.020099299028515816,0.018597932532429695,0.0
2.0,-0.07542447000741959,-0.072743721306324,-0.39431142807006836,4.519064903259277,0.020605014637112617,0.0206337608397007,0.0
2.0999999046325684,-0.079381063580513,-0.07661701738834381,-0.43962162733078003,4.9056806564331055,0.02103165164589882,0.022716006264090538,0.0
2.200000047683716,-0.08333765715360641,-0.08054297417402267,-0.48713988065719604,5.290964603424072,0.021398229524493217,0.0248377937823534,0.0
2.299999952316284,-0.08729425072669983,-0.08448829501867294,-0.5368455052375793,5.673886299133301,0.021717263385653496,0.0269937701523304,0.0
2.4000000953674316,-0.09125085175037384,-0.08844074606895447,-0.5887247920036316,6.053668022155762,0.021998759359121323,0.02917969599366188,0.0
2.5,-0.09520744532346725,-0.09239581227302551,-0.6427711844444275,6.429758548736572,0.02225152961909771,0.03139226511120796,0.0
2.5999999046325684,-0.09916403889656067,-0.09635184705257416,-0.69898521900177,6.801807403564453,0.022483572363853455,0.03362900763750076,0.0
2.700000047683716,-0.10312063246965408,-0.10030823200941086,-0.7573745250701904,7.169644355773926,0.022702127695083618,0.035888221114873886,0.0
2.799999952316284,-0.1070772260427475,-0.1042647510766983,-0.8179530501365662,7.5332536697387695,0.022913649678230286,0.03816889226436615,0.0
2.9000000953674316,-0.11103381961584091,-0.10822131484746933,-0.8807409405708313,7.892751693725586,0.02312374673783779,0.04047060012817383,0.0
3.0,-0.11499042063951492,-0.11217790842056274,-0.9457632899284363,8.248363494873047,0.023337168619036674,0.042793452739715576,0.0
3.0999999046325684,-0.11894701421260834,-0.11613449454307556,-1.0130499601364136,8.600396156311035,0.023557797074317932,0.045137982815504074,0.0
3.200000047683716,-0.12290360778570175,-0.12009108811616898,-1.0826349258422852,8.949219703674316,0.02378867007791996,0.047505058348178864,0.0
3.299999952316284,-0.12686020135879517,-0.12404768168926239,-1.1545547246932983,9.295242309570312,0.024032020941376686,0.04989583417773247,0.0
3.4000000953674316,-0.13081680238246918,-0.1280042827129364,-1.2288485765457153,9.638898849487305,0.024289343506097794,0.05231163278222084,0.0
3.5,-0.134773388504982,-0.13196086883544922,-1.3055576086044312,9.98062801361084,0.024561461061239243,0.054753899574279785,0.0
3.5999999046325684,-0.138729989528656,-0.13591746985912323,-1.3847239017486572,10.32086181640625,0.02484860271215439,0.057224128395318985,0.0
3.700000047683716,-0.14268657565116882,-0.13987405598163605,-1.4663898944854736,10.66001033782959,0.025150500237941742,0.05972381308674812,0.0
3.799999952316284,-0.14664317667484283,-0.14383065700531006,-1.5505980253219604,10.998458862304688,0.02546646259725094,0.0622544027864933,0.0
3.9000000953674316,-0.15059977769851685,-0.14778725802898407,-1.6373904943466187,11.336553573608398,0.0257954690605402,0.06481724977493286,0.0
4.0,-0.15455636382102966,-0.1517438441514969,-1.7268089056015015,11.674603462219238,0.026136253029108047,0.0674135833978653,0.0
