time,dec,de,u,w,q,theta,mode
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.10000000149011612,-0.003086546901613474,-0.001699654501862824,-0.00017134801601059735,0.002381236758083105,0.00010329097858630121,3.3366159186698496e-06,3.0
0.20000000298023224,-0.006173093803226948,-0.004239112604409456,-0.000906300381757319,0.013255496509373188,0.000433833192801103,2.799025605781935e-05,3.0
0.30000001192092896,-0.009259640239179134,-0.007065201178193092,-0.002547123236581683,0.03821006417274475,0.0010014676954597235,9.770750330062583e-05,3.0
0.4000000059604645,-0.012346187606453896,-0.010008804500102997,-0.005394277162849903,0.08183227479457855,0.0017790745478123426,0.00023501031682826579,3.0
0.5,-0.015432734042406082,-0.013016900978982449,-0.009707883931696415,0.14759892225265503,0.002728003077208996,0.00045899554970674217,3.0
0.6000000238418579,-0.01851928047835827,-0.016060393303632736,-0.015707336366176605,0.23788854479789734,0.003806650172919035,0.0007847161032259464,3.0
0.699999988079071,-0.021605828776955605,-0.01912331022322178,-0.023570766672492027,0.3540368974208832,0.004973933100700378,0.0012230714783072472,3.0
0.800000011920929,-0.02469237521290779,-0.02219689078629017,-0.033436357975006104,0.49643564224243164,0.006191399414092302,0.0017809722339734435,3.0
0.8999999761581421,-0.027778921648859978,-0.025276320055127144,-0.04540490731596947,0.664655327796936,0.0074244895949959755,0.002461671829223633,3.0
1.0,-0.030865468084812164,-0.028358960524201393,-0.059543266892433167,0.8575791716575623,0.008643241599202156,0.0032651934307068586,3.0
1.100000023841858,-0.0339520163834095,-0.031443364918231964,-0.07588832825422287,1.073540210723877,0.009822621941566467,0.004188810009509325,3.0
1.2000000476837158,-0.03703856095671654,-0.03452873229980469,-0.09445130825042725,1.3104552030563354,0.010942577384412289,0.0052275401540100574,3.0
1.2999999523162842,-0.04012510925531387,-0.03761463612318039,-0.11522215604782104,1.5659496784210205,0.011987901292741299,0.006374641787260771,3.0
1.399999976158142,-0.04321165755391121,-0.04070082679390907,-0.138173907995224,1.8374747037887573,0.01294794213026762,0.007622081786394119,3.0
1.5,-0.046298202127218246,-0.04378718137741089,-0.1632668823003769,2.122408866882324,0.013816227205097675,0.008960975334048271,3.0
1.600000023841858,-0.04938475042581558,-0.04687362164258957,-0.19045256078243256,2.418147087097168,0.014589997939765453,0.010381980799138546,3.0
1.7000000476837158,-0.05247129499912262,-0.04996010661125183,-0.2196771204471588,2.7221760749816895,0.015269718132913113,0.011875645257532597,3.0
1.7999999523162842,-0.055557843297719955,-0.05304662138223648,-0.25088462233543396,3.0321338176727295,0.01585855334997177,0.01343270018696785,3.0
1.899999976158142,-0.05864439159631729,-0.056133151054382324,-0.28401967883110046,3.345856189727783,0.016361849382519722,0.015044310130178928,3.0
2.0,-0.06173093616962433,-0.059219688177108765,-0.31902971863746643,3.661409616470337,0.016786644235253334,0.016702262684702873,3.0
2.0999999046325684,-0.06604994833469391,-0.06246742233633995,-0.35587263107299805,3.9771878719329834,0.017145289108157158,0.018399158492684364,3.0
2.200000047683716,-0.07036896795034409,-0.06590934097766876,-0.39457812905311584,4.292827129364014,0.0174802765250206,0.020130706951022148,3.0
2.299999952316284,-0.07468798011541367,-0.06939999759197235,-0.43516117334365845,4.608015537261963,0.017800111323595047,0.02189497835934162,3.0
2.4000000953674316,-0.07900699973106384,-0.07289066165685654,-0.47763484716415405,4.922487258911133,0.018107298761606216,0.02369057759642601,3.0
2.5,-0.08332601189613342,-0.07638131827116013,-0.5220142602920532,5.236042022705078,0.01840430125594139,0.025516366586089134,3.0
2.5999999046325684,-0.087645024061203,-0.07987197488546371,-0.5683165192604065,5.5485429763793945,0.01869348995387554,0.027371447533369064,3.0
2.700000047683716,-0.09196404367685318,-0.0833626314997673,-0.6165606379508972,5.859908103942871,0.018977072089910507,0.029255149886012077,3.0
2.799999952316284,-0.09628305584192276,-0.08685329556465149,-0.6667676568031311,6.170104503631592,0.019257057458162308,0.031167011708021164,3.0
2.9000000953674316,-0.10060206800699234,-0.09034395217895508,-0.7189604043960571,6.479142189025879,0.019535234197974205,0.033106766641139984,3.0
3.0,-0.10492108762264252,-0.09383460879325867,-0.7731631994247437,6.787069320678711,0.019813144579529762,0.03507431596517563,3.0
3.0999999046325684,-0.1092400997877121,-0.09732526540756226,-0.8294018507003784,7.093960285186768,0.020092079415917397,0.03706970438361168,3.0
3.200000047683716,-0.11355911195278168,-0.10081592947244644,-0.8877032995223999,7.399912357330322,0.02037307433784008,0.03909307345747948,3.0
3.299999952316284,-0.11787813156843185,-0.10430658608675003,-0.9480953812599182,7.705038547515869,0.020656928420066833,0.041144680231809616,3.0
3.4000000953674316,-0.12219714373350143,-0.10779724270105362,-1.0106068849563599,8.0094633102417,0.02094421535730362,0.043224845081567764,3.0
3.5,-0.1265161633491516,-0.11128789931535721,-1.07526695728302,8.313314437866211,0.021235289052128792,0.04533391818404198,3.0
3.5999999046325684,-0.1308351755142212,-0.1147785633802414,-1.142105221748352,8.616720199584961,0.02153032459318638,0.04747230187058449,3.0
3.700000047683716,-0.13515418767929077,-0.11826921999454498,-1.2111512422561646,8.919805526733398,0.021829331293702126,0.049640387296676636,3.0
3.799999952316284,-0.13947319984436035,-0.12175987660884857,-1.2824349403381348,9.222688674926758,0.022132176905870438,0.05183856561779976,3.0
3.9000000953674316,-0.14379221200942993,-0.12525053322315216,-1.3559858798980713,9.525479316711426,0.022438623011112213,0.054067209362983704,3.0
4.0,-0.1481112390756607,-0.12874118983745575,-1.4318335056304932,9.828276634216309,0.02274833619594574,0.05632666498422623,3.0
