epoch,loss,accuracy
1.0,0.9727099,0.54276985
2.0,0.6921753,0.7169043
3.0,0.5799262,0.7617108
4.0,0.5488997,0.7897149
5.0,0.4872135,0.8078411
6.0,0.46651796,0.8021385
7.0,0.46159282,0.8213849
8.0,0.3948084,0.8404277
9.0,0.39018232,0.8417515
10.0,0.36731926,0.8480652
11.0,0.3665528,0.8503055
12.0,0.34314102,0.8551935
13.0,0.3542196,0.85427696
14.0,0.35720187,0.8466395
15.0,0.32652903,0.8672098
16.0,0.31785256,0.8681263
17.0,0.33938515,0.85203665
18.0,0.32313523,0.8681263
19.0,0.31582353,0.87321794
20.0,0.31541425,0.87057024
21.0,0.309612,0.8681263
22.0,0.31805176,0.86751527
23.0,0.30284324,0.87729126
24.0,0.28598493,0.87790227
25.0,0.27714145,0.8869654
26.0,0.2964628,0.8771894
27.0,0.29606035,0.8837067
28.0,0.27822086,0.8862525
29.0,0.28350097,0.8835031
30.0,0.29404727,0.8811609
31.0,0.26637706,0.89022404
32.0,0.26247093,0.89144605
33.0,0.27668497,0.88665986
34.0,0.25086266,0.90081465
35.0,0.24036281,0.9038696
36.0,0.2606508,0.8922607
37.0,0.24097914,0.90346235
38.0,0.24125037,0.90285134
39.0,0.25485802,0.89714867
40.0,0.23796137,0.90417516
41.0,0.24082258,0.903055
42.0,0.23970279,0.9027495
43.0,0.24624921,0.9003055
44.0,0.2362581,0.905499
45.0,0.24377742,0.90661913
46.0,0.23626359,0.9092668
47.0,0.24239868,0.9059063
48.0,0.2332249,0.906721
49.0,0.21303794,0.91619146
50.0,0.22091195,0.9136456
51.0,0.2263916,0.91496944
52.0,0.23530187,0.90916497
53.0,0.26325986,0.893279
54.0,0.23303111,0.90641546
55.0,0.22730333,0.907332
56.0,0.20709786,0.92403257
57.0,0.23134914,0.9087576
58.0,0.19241688,0.9284114
59.0,0.21377134,0.9117108
60.0,0.2049197,0.92199594
61.0,0.20013101,0.9229124
62.0,0.21251583,0.9237271
63.0,0.19665381,0.92403257
64.0,0.20406425,0.9202648
65.0,0.19186938,0.9251528
66.0,0.2040551,0.9195519
67.0,0.19430381,0.9231161
68.0,0.21111323,0.91496944
69.0,0.19132896,0.9259674
70.0,0.18714319,0.92637473
71.0,0.18758793,0.92637473
72.0,0.20219551,0.91904277
73.0,0.21068454,0.92057025
74.0,0.19764814,0.9229124
75.0,0.21074481,0.91710794
76.0,0.17556614,0.9329939
77.0,0.19687198,0.9237271
78.0,0.1802959,0.9320774
79.0,0.21812956,0.9115071
80.0,0.21774405,0.91059065
81.0,0.1846314,0.92484725
82.0,0.20349254,0.91496944
83.0,0.16580191,0.9344196
84.0,0.19213533,0.92260695
85.0,0.19130301,0.9259674
86.0,0.18404227,0.9272912
87.0,0.18805023,0.92484725
88.0,0.19901235,0.9185336
89.0,0.16526046,0.94093686
90.0,0.16190812,0.9400204
91.0,0.19640261,0.92270875
92.0,0.18363099,0.9279022
93.0,0.17085817,0.9328921
94.0,0.18291368,0.92668027
95.0,0.17471787,0.9349287
96.0,0.19871072,0.9195519
97.0,0.18155052,0.9336049
98.0,0.16849811,0.9378819
99.0,0.1777461,0.9364562
100.0,0.17454998,0.9292261
101.0,0.19141799,0.92270875
102.0,0.17638853,0.9270876
103.0,0.1670585,0.9327902
104.0,0.18811092,0.92393076
105.0,0.14978993,0.94663954
106.0,0.1762662,0.9299389
107.0,0.1864948,0.9258656
108.0,0.19801237,0.9180244
109.0,0.17726848,0.9351324
110.0,0.1891348,0.9267821
111.0,0.16885078,0.93676174
112.0,0.18747714,0.92688394
113.0,0.17155764,0.9328921
114.0,0.20261483,0.915275
115.0,0.18710054,0.9294297
116.0,0.16859211,0.9351324
117.0,0.19011934,0.9259674
118.0,0.18504895,0.9308554
119.0,0.18030748,0.93869656
120.0,0.18610504,0.93472505
121.0,0.17183115,0.9271894
122.0,0.19991405,0.9174135
123.0,0.18394578,0.92698574
124.0,0.18281479,0.9315682
125.0,0.19458137,0.92474544
126.0,0.18041123,0.9273931
127.0,0.17514117,0.9293279
128.0,0.1852068,0.9292261
129.0,0.19886605,0.91629326
130.0,0.17363599,0.9349287
131.0,0.1756686,0.9301426
132.0,0.17310804,0.9321792
133.0,0.16559194,0.9348269
134.0,0.19814064,0.9230143
