epoch,loss,accuracy
1.0,1.1003902,0.47973523
2.0,1.0421053,0.49918532
3.0,0.9842462,0.5409369
4.0,0.9292773,0.5870672
5.0,0.84136915,0.6395112
6.0,0.7776492,0.67423624
7.0,0.7426851,0.6858452
8.0,0.74077463,0.6940937
9.0,0.6845539,0.72057027
10.0,0.67313045,0.7148676
11.0,0.66562974,0.71507126
12.0,0.6559669,0.7218941
13.0,0.6639148,0.70590633
14.0,0.6470524,0.7265784
15.0,0.6374477,0.73350304
16.0,0.6430773,0.7330957
17.0,0.63274485,0.7316701
18.0,0.6251789,0.7373727
19.0,0.62366855,0.72851324
20.0,0.65958095,0.7114053
21.0,0.6146817,0.745723
22.0,0.6053628,0.7490835
23.0,0.6440786,0.71303463
24.0,0.6018002,0.754888
25.0,0.6142877,0.7459267
26.0,0.5980779,0.758554
27.0,0.60783607,0.7565173
28.0,0.62901103,0.73197556
29.0,0.635329,0.7293279
30.0,0.6105409,0.7485743
31.0,0.60244447,0.75234216
32.0,0.61265963,0.73757637
33.0,0.6196383,0.7486762
34.0,0.64874995,0.72566193
35.0,0.59408426,0.7564155
36.0,0.6024133,0.75244397
37.0,0.60091823,0.7513238
38.0,0.5994651,0.7484725
39.0,0.5964155,0.7507128
40.0,0.6421181,0.74114054
41.0,0.6498636,0.7322811
42.0,0.59577435,0.75539714
43.0,0.5879969,0.753666
44.0,0.614413,0.7337067
45.0,0.66468096,0.7311609
46.0,0.6175629,0.7478615
47.0,0.61398256,0.7477597
48.0,0.61950743,0.74551934
49.0,0.60294396,0.7556008
50.0,0.59784967,0.74521387
51.0,0.58148015,0.76384926
52.0,0.59932697,0.74765784
53.0,0.6011272,0.7507128
54.0,0.63760895,0.7336049
55.0,0.5865396,0.7577393
56.0,0.69643104,0.68309575
57.0,0.6207537,0.73828924
58.0,0.59357417,0.7471487
59.0,0.6231453,0.7563136
60.0,0.6317535,0.7272912
61.0,0.61897904,0.74796337
62.0,0.598209,0.7484725
63.0,0.5912919,0.7614053
64.0,0.6285409,0.73686355
65.0,0.6013662,0.7513238
66.0,0.5784482,0.75947046
67.0,0.60476613,0.7534623
68.0,0.58298564,0.7583503
69.0,0.651841,0.7339104
70.0,0.60072935,0.742057
71.0,0.59780663,0.7604888
72.0,0.574694,0.77087575
73.0,0.5887761,0.7640529
74.0,0.61008394,0.750611
75.0,0.59181964,0.7576375
76.0,0.58940035,0.73268837
77.0,0.67053944,0.72494906
78.0,0.5938378,0.75590634
79.0,0.5876573,0.76038694
80.0,0.66712785,0.74114054
81.0,0.6076887,0.7323829
82.0,0.58142126,0.75733197
83.0,0.5710495,0.7669043
84.0,0.5760561,0.76435846
85.0,0.574635,0.76812625
86.0,0.5850325,0.7632383
87.0,0.5724961,0.76649696
88.0,0.5809403,0.76710796
89.0,0.57969224,0.7621181
90.0,0.6051731,0.74887985
91.0,0.5724205,0.76364565
92.0,0.5813832,0.76720977
93.0,0.6266183,0.7413442
94.0,0.58069223,0.76720977
95.0,0.59144795,0.75936866
96.0,0.5700503,0.77138495
97.0,0.5704631,0.76221997
98.0,0.61771524,0.745723
99.0,0.5985384,0.75020367
100.0,0.59179044,0.75478613
101.0,0.5769744,0.75967413
102.0,0.6541374,0.75162935
103.0,0.5665877,0.76446027
104.0,0.6003304,0.749389
105.0,0.587884,0.7528513
106.0,0.56608224,0.7699593
107.0,0.7037916,0.67148674
108.0,0.5936792,0.7569246
109.0,0.5844562,0.7670061
110.0,0.56776136,0.7663951
111.0,0.5704728,0.7620163
112.0,0.6059631,0.753666
113.0,0.58402073,0.7501018
114.0,0.58405507,0.7564155
115.0,0.57527655,0.7620163
116.0,0.7389052,0.68625253
117.0,0.59618336,0.75529534
118.0,0.5784522,0.7613035
119.0,0.5743097,0.7688391
120.0,0.58985347,0.76150715
121.0,0.5787981,0.76232177
122.0,0.5957668,0.7209776
123.0,0.58321863,0.7453157
124.0,0.6470366,0.7323829
125.0,0.583101,0.759776
126.0,0.60570574,0.7316701
127.0,0.5776879,0.7656823
128.0,0.573168,0.7619145
129.0,0.5623962,0.7601833
130.0,0.56232864,0.76313645
131.0,0.56574583,0.76466393
132.0,0.5773828,0.76802444
133.0,0.58667314,0.76252544
134.0,0.57766664,0.7442973
135.0,0.583621,0.7633401
136.0,0.5638713,0.77077395
137.0,0.595385,0.7540733
138.0,0.55733234,0.7719959
139.0,0.58341277,0.76802444
140.0,0.59025335,0.7480652
141.0,0.57085615,0.7598778
142.0,0.5607166,0.7655805
143.0,0.5855563,0.7410387
144.0,0.6076275,0.73686355
145.0,0.6109941,0.7459267
