epoch,loss,accuracy
1.0,1.029023,0.50448066
2.0,0.9332528,0.5740326
3.0,0.89746225,0.594501
4.0,0.86690706,0.61741346
5.0,0.81633615,0.6482688
6.0,0.77071875,0.6827902
7.0,0.76299196,0.68319756
8.0,0.74454147,0.68900204
9.0,0.72699857,0.6928717
10.0,0.71430284,0.6800407
11.0,0.65239906,0.7118126
12.0,0.6487326,0.70814663
13.0,0.5729268,0.7280041
14.0,0.5471777,0.77209777
15.0,0.5219517,0.7754583
16.0,0.5182002,0.77953154
17.0,0.5325963,0.77932787
18.0,0.4891533,0.79551935
19.0,0.49386823,0.79419553
20.0,0.5044753,0.78727084
21.0,0.47875568,0.8037678
22.0,0.51011187,0.790224
23.0,0.50246286,0.7759674
24.0,0.47369784,0.8057026
25.0,0.51376605,0.77576375
26.0,0.47518393,0.80631363
27.0,0.47185606,0.80702645
28.0,0.5023555,0.7903259
29.0,0.53232616,0.7753564
30.0,0.46685934,0.8093686
31.0,0.47419137,0.801833
32.0,0.4908639,0.7797352
33.0,0.45919347,0.81323826
34.0,0.47590733,0.79562116
35.0,0.49678683,0.7804481
36.0,0.459273,0.80122197
37.0,0.5116733,0.7776986
38.0,0.48089778,0.7919552
39.0,0.48225212,0.7965377
40.0,0.4640849,0.8051935
41.0,0.4690691,0.797556
42.0,0.46511355,0.79837066
43.0,0.4812018,0.7943992
44.0,0.46661627,0.80142564
45.0,0.4629081,0.800611
46.0,0.47648194,0.7996945
47.0,0.50918293,0.78075355
48.0,0.4643311,0.8022403
49.0,0.47084033,0.8
50.0,0.4560793,0.8089613
51.0,0.45411277,0.80112016
52.0,0.45655352,0.80610996
53.0,0.47253585,0.7909369
54.0,0.5126887,0.7832994
55.0,0.4629067,0.8037678
56.0,0.47292116,0.79276985
57.0,0.45868212,0.80142564
58.0,0.46150258,0.803666
59.0,0.4700951,0.80040735
60.0,0.45778164,0.79928714
61.0,0.4553479,0.8027495
62.0,0.44916603,0.8062118
63.0,0.5138553,0.7715886
64.0,0.45892838,0.80549896
65.0,0.4524752,0.8078411
66.0,0.44615993,0.8044807
67.0,0.44782886,0.8065173
68.0,0.46114504,0.79837066
69.0,0.44777355,0.803055
70.0,0.4657576,0.79643583
71.0,0.46400797,0.7996945
72.0,0.47327706,0.7925662
73.0,0.4611425,0.79714864
74.0,0.4680351,0.79002035
75.0,0.4503944,0.8003055
76.0,0.4550926,0.798778
77.0,0.48977414,0.78360486
78.0,0.43902153,0.8058045
79.0,0.47102877,0.78910387
80.0,0.43220577,0.8130346
81.0,0.46109968,0.79979634
82.0,0.4600925,0.8003055
83.0,0.4467151,0.8059063
84.0,0.50233483,0.7837067
85.0,0.46558565,0.7935845
86.0,0.467595,0.796334
87.0,0.47167113,0.79144603
88.0,0.43484235,0.8084521
89.0,0.4702544,0.78788185
90.0,0.44947007,0.8027495
91.0,0.44210377,0.80193484
92.0,0.44107044,0.80142564
93.0,0.50048363,0.7826884
94.0,0.49918377,0.77698576
95.0,0.5397803,0.7618126
96.0,0.44014236,0.804277
97.0,0.4365488,0.80478615
98.0,0.44498867,0.8051935
99.0,0.43185598,0.8100815
100.0,0.43589726,0.80692464
101.0,0.44131362,0.80356413
102.0,0.4496129,0.8052953
103.0,0.47316533,0.7904277
104.0,0.47642112,0.78625256
105.0,0.45367536,0.8003055
106.0,0.43656883,0.808554
107.0,0.4364106,0.8078411
108.0,0.46496177,0.79052955
109.0,0.43097824,0.8072301
110.0,0.44176966,0.8052953
111.0,0.43658665,0.8002037
112.0,0.43926403,0.80977595
113.0,0.44573817,0.7925662
114.0,0.46382612,0.7959267
115.0,0.4379516,0.7959267
116.0,0.4376962,0.7995927
117.0,0.47396818,0.78930753
118.0,0.4400462,0.8
119.0,0.43300167,0.8009165
120.0,0.45907813,0.7979633
121.0,0.4495738,0.80173117
122.0,0.44526285,0.80397147
123.0,0.44108495,0.80763745
124.0,0.43478388,0.80824846
125.0,0.43179435,0.806721
126.0,0.45140874,0.8023422
127.0,0.4681987,0.78431773
128.0,0.43830335,0.8059063
129.0,0.48049405,0.7860489
130.0,0.44326708,0.80631363
131.0,0.43571326,0.799389
132.0,0.43115798,0.80407333
133.0,0.43974847,0.80478615
134.0,0.43527082,0.80753565
135.0,0.45269468,0.796334
136.0,0.544719,0.753666
137.0,0.44213322,0.8034623
138.0,0.47961023,0.79002035
139.0,0.43592602,0.8037678
140.0,0.43852773,0.8031568
141.0,0.4685018,0.789613
142.0,0.447541,0.79887986
143.0,0.4326025,0.80050915
144.0,0.43376827,0.80386966
145.0,0.42789245,0.8100815
146.0,0.4292131,0.81242365
147.0,0.43846112,0.7974542
148.0,0.4332829,0.8078411
149.0,0.44757828,0.7994908
150.0,0.4368026,0.799389
151.0,0.4399243,0.80193484
152.0,0.45526487,0.795723
153.0,0.43296742,0.8003055
154.0,0.4712165,0.78788185
155.0,0.4328405,0.8133401
156.0,0.45249742,0.796334
157.0,0.44839358,0.79765785
158.0,0.44688553,0.7958248
159.0,0.43692133,0.80407333
160.0,0.4387919,0.80356413
161.0,0.44293657,0.8001018
162.0,0.43271872,0.8049898
163.0,0.42966214,0.8104888
164.0,0.43481103,0.802444
165.0,0.494406,0.7793279
166.0,0.48935527,0.7788187
167.0,0.44259265,0.8045825
168.0,0.4301436,0.80885947
169.0,0.42399666,0.8114053
170.0,0.45140985,0.7985743
171.0,0.43281937,0.8074338
172.0,0.43428338,0.80478615
173.0,0.4434893,0.80173117
174.0,0.4489052,0.8009165
175.0,0.4422036,0.795723
176.0,0.43615207,0.80702645
177.0,0.44567904,0.79979634
178.0,0.44410855,0.8052953
179.0,0.50041676,0.77352345
180.0,0.43391418,0.80407333
181.0,0.45284703,0.79887986
182.0,0.4314975,0.80610996
183.0,0.46188802,0.7881874
184.0,0.46759367,0.7831976
185.0,0.5823379,0.742057
186.0,0.43735006,0.80407333
187.0,0.43615645,0.79918534
188.0,0.44924933,0.800611
189.0,0.43860948,0.8028513
190.0,0.44365785,0.79989815
191.0,0.43951657,0.80417514
192.0,0.42629558,0.80040735
193.0,0.44861215,0.8009165
194.0,0.44020388,0.80173117
195.0,0.43633628,0.80468434
196.0,0.4218678,0.81109977
197.0,0.4412417,0.7960285
198.0,0.46896064,0.78940934
199.0,0.4325156,0.81038696
200.0,0.4240756,0.80885947
201.0,0.44900814,0.79837066
202.0,0.4398246,0.79979634
203.0,0.44003826,0.798167
204.0,0.43712842,0.80407333
205.0,0.44871637,0.79928714
206.0,0.4349851,0.8008147
207.0,0.43248233,0.803666
208.0,0.43602413,0.8043788
209.0,0.43259808,0.80264765
210.0,0.44241634,0.80356413
211.0,0.46714962,0.78991854
212.0,0.43493405,0.79989815
213.0,0.43943912,0.8043788
214.0,0.44497907,0.7994908
215.0,0.4581957,0.79623216
216.0,0.44350082,0.8009165
217.0,0.43487975,0.80875766
218.0,0.43919158,0.8023422
219.0,0.44249213,0.7996945
220.0,0.47398207,0.78696537
221.0,0.48278326,0.77912426
222.0,0.45202714,0.79419553
223.0,0.44088125,0.80142564
224.0,0.43906197,0.8028513
225.0,0.45746124,0.79338086
226.0,0.5705066,0.74979633
227.0,0.44946077,0.79643583
228.0,0.426078,0.80468434
229.0,0.4563872,0.80132383
230.0,0.43423334,0.803666
231.0,0.42911124,0.8034623
232.0,0.43293804,0.80417514
233.0,0.43833026,0.8043788
234.0,0.4489385,0.7996945
235.0,0.4381611,0.7978615
236.0,0.43560976,0.80692464
237.0,0.50957316,0.76313645
238.0,0.43946564,0.7935845
239.0,0.42830873,0.80692464
240.0,0.42239517,0.81160897
241.0,0.43036067,0.8074338
242.0,0.44554278,0.8
243.0,0.49860978,0.77423626
244.0,0.44548318,0.7995927
245.0,0.44141784,0.8016293
246.0,0.43338886,0.80702645
247.0,0.4576284,0.80132383
248.0,0.4525541,0.79837066
249.0,0.44761497,0.7925662
250.0,0.4329576,0.8056008
251.0,0.4541477,0.795112
252.0,0.44481304,0.7980652
253.0,0.44662797,0.8002037
254.0,0.42976174,0.8056008
255.0,0.47259495,0.7845214
256.0,0.42897114,0.81109977
257.0,0.45893723,0.789613
258.0,0.43301955,0.80356413
259.0,0.4485152,0.8
260.0,0.4539543,0.7968432
261.0,0.49966997,0.7731161
262.0,0.44407803,0.7986762
263.0,0.4286486,0.8078411
264.0,0.4818488,0.7852342
265.0,0.43457305,0.8037678
266.0,0.47120443,0.7825866
267.0,0.43185985,0.8049898
268.0,0.48616853,0.78625256
269.0,0.4251674,0.8098778
270.0,0.4286278,0.80682284
271.0,0.5254292,0.76456213
272.0,0.4491975,0.79714864
273.0,0.44271344,0.7966395
274.0,0.4445292,0.8027495
275.0,0.43588307,0.8008147
276.0,0.42809612,0.8077393
277.0,0.42212284,0.8078411
278.0,0.49221438,0.7805499
279.0,0.42991763,0.8062118
280.0,0.4427414,0.80050915
281.0,0.43159282,0.8034623
282.0,0.42855993,0.80142564
283.0,0.45309433,0.79276985
284.0,0.4238701,0.8057026
285.0,0.4308188,0.80692464
286.0,0.43367523,0.8065173
287.0,0.42927006,0.800611
288.0,0.43949756,0.8049898
289.0,0.50915706,0.7683299
290.0,0.42482615,0.8114053
291.0,0.69442976,0.7339104
292.0,0.42352822,0.81252545
293.0,0.4639341,0.79399186
294.0,0.43387714,0.807943
295.0,0.41980436,0.80539715
296.0,0.44054747,0.80600816
297.0,0.44744846,0.7953157
298.0,0.43195754,0.8059063
299.0,0.4421429,0.80040735
300.0,0.43962327,0.799389
